hex,built,capacity_cph
87274b080ffffff,0,0
87274b082ffffff,0,0
87274b095ffffff,0,0
87274b091ffffff,0,0
87274b093ffffff,0,0
87274b46cffffff,0,0
87274b46effffff,0,0
87274b463ffffff,1,1
87274b444ffffff,0,0
87274b471ffffff,0,0
87274b454ffffff,0,0
87274b456ffffff,0,0
87274b409ffffff,0,0
87274b40bffffff,0,0
87274b40affffff,0,0
87274b419ffffff,0,0
87274b41bffffff,0,0
87274b4f4ffffff,0,0
87274b4f0ffffff,0,0
87274b4f6ffffff,0,0
87274b4f2ffffff,0,0
87274b489ffffff,0,0
87274b48bffffff,0,0
872664b25ffffff,0,0
872664b20ffffff,0,0
872664b23ffffff,0,0
872664b22ffffff,0,0
872664b04ffffff,0,0
872664b31ffffff,0,0
872664b06ffffff,0,0
872664b15ffffff,0,0
872664b11ffffff,0,0
872664b13ffffff,0,0
872664badffffff,0,0
872664ba8ffffff,0,0
872664baaffffff,0,0
872664b8cffffff,0,0
872664b81ffffff,0,0
872664b8effffff,0,0
872664b83ffffff,0,0
872664b9dffffff,0,0
872664b98ffffff,0,0
872664b9affffff,0,0
87266416dffffff,0,0
872664169ffffff,0,0
872664168ffffff,0,0
87266416affffff,0,0
872664145ffffff,0,0
872664141ffffff,0,0
872664140ffffff,0,0
872664143ffffff,0,0
872664142ffffff,0,0
872664151ffffff,0,0
872664153ffffff,0,0
872664150ffffff,0,0
872664152ffffff,0,0
872664021ffffff,1,1
87266402effffff,0,0
872664023ffffff,0,0
872664005ffffff,1,1
872664004ffffff,0,0
872664000ffffff,0,0
872664006ffffff,0,0
872664015ffffff,0,0
872664010ffffff,0,0
872664016ffffff,1,1
872664012ffffff,0,0
8726640a5ffffff,0,0
8726640a0ffffff,0,0
8726640a2ffffff,0,0
8726640b5ffffff,0,0
8726640b0ffffff,1,1
8726640b2ffffff,0,0
87266454dffffff,0,0
872664549ffffff,0,0
872664548ffffff,0,0
87266454bffffff,0,0
87266454affffff,0,0
87266455dffffff,0,0
87266454effffff,0,0
872664543ffffff,0,0
872664542ffffff,0,0
872664555ffffff,0,0
872664554ffffff,0,0
872664509ffffff,0,0
872664508ffffff,0,0
87266450effffff,0,0
872664501ffffff,0,0
872664503ffffff,0,0
872664500ffffff,0,0
872664502ffffff,0,0
872664515ffffff,0,0
872664510ffffff,1,1
872664514ffffff,0,0
872759249ffffff,0,0
87275924dffffff,0,0
87275924cffffff,0,0
87275926affffff,0,0
87275926effffff,0,0
872759263ffffff,0,0
872759261ffffff,0,0
872759260ffffff,0,0
872759266ffffff,0,0
872759275ffffff,0,0
87275935bffffff,0,0
872759274ffffff,0,0
872759229ffffff,0,0
872759228ffffff,0,0
87275922dffffff,0,0
87275922cffffff,0,0
872759352ffffff,0,0
872759225ffffff,0,0
87275930bffffff,0,0
872759308ffffff,0,0
87275930affffff,0,0
872759319ffffff,0,0
872759318ffffff,0,0
87275931affffff,0,0
8727593a9ffffff,0,0
8727593abffffff,0,0
8727593aaffffff,0,0
872759381ffffff,0,0
872759383ffffff,0,0
87275939cffffff,1,1
872759391ffffff,0,0
872759390ffffff,0,0
872759392ffffff,0,0
872759396ffffff,0,0
872759765ffffff,0,0
872759764ffffff,0,0
8727590d9ffffff,0,0
8727590daffffff,0,0
872759729ffffff,0,0
872759728ffffff,0,0
87275972affffff,0,0
872759705ffffff,0,0
872759704ffffff,0,0
872759706ffffff,0,0
872759733ffffff,0,0
872759449ffffff,0,0
872759448ffffff,0,0
87275944affffff,0,0
87275945dffffff,0,0
872759458ffffff,0,0
87275945affffff,0,0
8727594edffffff,0,0
8727594e8ffffff,0,0
8727594eaffffff,0,0
8727594eeffffff,0,0
8727594c5ffffff,0,0
8727594c4ffffff,0,0
8727594e2ffffff,0,0
8727594e6ffffff,0,0
87275941bffffff,0,0
872759419ffffff,0,0
87275941cffffff,0,0
872759411ffffff,0,0
872759415ffffff,0,0
872759414ffffff,0,0
872759432ffffff,0,0
87275958dffffff,0,0
872759436ffffff,0,0
8727595abffffff,0,0
8727595a8ffffff,0,0
8727595acffffff,0,0
872759512ffffff,0,0
872759516ffffff,0,0
87275824bffffff,0,0
872758248ffffff,0,0
87275824cffffff,0,0
872758241ffffff,0,0
87275826affffff,0,0
872758240ffffff,0,0
87266402cffffff,0,0
87274b446ffffff,0,0
872759241ffffff,0,0
872759243ffffff,0,0
87275925cffffff,0,0
87275925effffff,0,0
872759251ffffff,0,0
872759250ffffff,0,0
872759255ffffff,0,0
872759254ffffff,0,0
872759272ffffff,0,0
872759276ffffff,0,0
87275922bffffff,0,0
8726640a4ffffff,0,0
87266418affffff,0,0
87266419dffffff,0,0
872664183ffffff,0,0
872664180ffffff,0,0
872664182ffffff,0,0
872664186ffffff,0,0
8726641b3ffffff,0,0
8726641b2ffffff,0,0
872664ccdffffff,0,0
872664cccffffff,0,0
872664cc1ffffff,0,0
872664cc0ffffff,0,0
872664cc6ffffff,1,1
872664cf1ffffff,0,0
872664cf5ffffff,0,0
872664cf4ffffff,0,0
872664c1affffff,0,0
872664cadffffff,0,0
872664cacffffff,0,0
872664c13ffffff,0,0
872664c12ffffff,0,0
872664ca1ffffff,0,0
872664ca5ffffff,0,0
872664ca0ffffff,0,0
872664ca6ffffff,0,0
872664d9bffffff,0,0
872664d9affffff,0,0
872759369ffffff,0,0
87275936bffffff,0,0
87275936affffff,0,0
872759345ffffff,0,0
872759340ffffff,0,0
872759346ffffff,0,0
872759355ffffff,0,0
872759373ffffff,0,0
872759354ffffff,0,0
872759309ffffff,0,0
872759258ffffff,0,0
872664188ffffff,0,0
87266418bffffff,0,0
872664189ffffff,0,0
87274b01dffffff,0,0
87274b00affffff,0,0
87274b0e4ffffff,0,0
87274b0e0ffffff,1,1
87274b0e2ffffff,0,0
87274b0f1ffffff,0,0
87274b0c6ffffff,0,0
87274b0d5ffffff,0,0
87274b0d0ffffff,0,0
87274b0d2ffffff,0,0
87274b721ffffff,0,0
87274b723ffffff,0,0
87274b722ffffff,1,1
87274b731ffffff,0,0
87274b733ffffff,0,0
